reducido,2017 - 03,2017 - 04,2017 - 05,2017 - 06,2017 - 07,2017 - 08,2018 - 01,2018 - 02,2018 - 03,2018 - 04,2018 - 05,2018 - 06,2018 - 07,2018 - 08,2019 - 01,2019 - 02,2019 - 03,2019 - 04,2019 - 05,2019 - 06,2019 - 07,2019 - 08,2020 - 01,2020 - 02,2020 - 03,2020 - 04,2020 - 05,2020 - 06
Act. Derecho Contratual,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Consentimiento y objeto digital contractual,Métodos alternos de resolución de controversias,Nueva clasificación contractual,Nuevo derecho probatorio documental,Contratos inteligentes,Consentimiento y objeto digital contractual
Adm. Emp.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Administración de costos,Impuestos,Desafíos actuales en la Dirección del Capital Humano,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Administración de costos,Impuestos,Desafíos actuales en la Dirección del Capital Humano
Adm. Riesgos,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Riesgos empresariales,Contabilidad Financiera y Presupuestos,Administración de riesgos,Evaluación de Riesgos,Toma de Decisiones,Riesgos empresariales,Contabilidad Financiera y Presupuestos,Administración de riesgos,Evaluación de Riesgos,Toma de Decisiones
Adm. Salud,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Calidad en salud,Contabilidad Financiera y Presupuestos,Administración de costos,Salud pública,Planeación estratégica en salud,Calidad en salud,Contabilidad Financiera y Presupuestos,Planeación estratégica en salud,Salud pública,Planeación estratégica en salud
Admon Fin.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Decisión y Análisis de Inversión,Decisión de Financiamiento y Pago de Dividendos,Análisis de Estados Financieros,Estrategias de negocios,Planeación Financiera y Administración del Capital de Trabajo,Decisión y Análisis de Inversión,Decisión de Financiamiento y Pago de Dividendos,Análisis de Estados Financieros,Estrategias de negocios,Planeación Financiera y Administración del Capital de Trabajo,Decisión y Análisis de Inversión,Decisión de Financiamiento y Pago de Dividendos,Análisis de Estados Financieros,Estrategias de negocios,Planeación Financiera y Administración del Capital de Trabajo
Alim. Y Nut. Salud,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Ambiente y conductas obesogénicas,Antecedentes y evolución de la alimentación,Composición corporal y metabolismo,Trastornos de la conducta alimentaria (TCA),"Alimentación, crecimiento y desarrollo",Ambiente y conductas obesogénicas,Antecedentes y evolución de la alimentación,Composición corporal y metabolismo,Trastornos de la conducta alimentaria (TCA),"Alimentación, crecimiento y desarrollo",Ambiente y conductas obesogénicas,Antecedentes y evolución de la alimentación,Composición corporal y metabolismo
Analitica Web,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Marketing Analytics,Big data y Business Analyitics,Análisis y métrica web,Herramientas y optimización web,Análisis SEM/SEO
Autolesion,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Introducción a las conductas de autolesión no suicida,Sin clase,Sin clase,Sin clase,Sin clase,Introducción a las conductas de autolesión no suicida,Causas asociadas a las conductas de autolesión. Abordando contextos,"Relación entre espacios cibernéticos, redes sociales  en  las conductas de autolesión"
B. I.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Business Understanding: Pensamiento analítico basado en datos.,Data Driven Decisions,Data Visualization: Llevando Power BI al límite.,Big data y Business Analyitics,Making Sense of Data: Modelación predictiva,Business Understanding: Pensamiento analítico basado en datos.,Data Driven Decisions,Data Visualization: Llevando Power BI al límite.,Big data y Business Analyitics,Business Understanding: Pensamiento analítico basado en datos.,Making Sense of Data: Modelación predictiva,Data Driven Decisions
Bien. Salud y Calidad,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Ambiente y conductas obesogénicas,Antecedentes y evolución de la alimentación,Regulador bio-psico-cultural y conducta alimentaria,Los cinco principales factores de protección,"Autoconciencia, autoeficacia y autoestima en las etapas críticas de la vida",Ambiente y conductas obesogénicas,Antecedentes y evolución de la alimentación,Regulador bio-psico-cultural y conducta alimentaria,Los cinco principales factores de protección,"Autoconciencia, autoeficacia y autoestima en las etapas críticas de la vida",Ambiente y conductas obesogénicas,Antecedentes y evolución de la alimentación,Regulador bio-psico-cultural y conducta alimentaria
Big Data,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Data Driven Decisions,Marketing Analytics,Big data y Business Analyitics,Liderazgo y Motivación,Process Optimization,Data Driven Decisions,Marketing Analytics,Big data y Business Analyitics,Liderazgo y Motivación,Process Optimization,Data Driven Decisions,Marketing Analytics,Big data y Business Analyitics,Liderazgo y Motivación,Process Optimization,Data Driven Decisions
